08 Jun 2018,WHOLLY GREENS PTE LTD,S$3.20
08 Jun 2018,SPOTIFY P06445E536 STOCKHOLM SWE,S$1.00
09 Jun 2018,OLDTOWN WHITE COFFEE - SINGAPORE 065,S$18.60
09 Jun 2018,THE COFFEE BEAN - PLAZ,S$16.50
09 Jun 2018,TIMEZONE SG-PLAZA SING SINGAPORE 065,S$30.00
09 Jun 2018,ICHIBAN SUSHI-PLAZA S' SINGAPORE 065,S$37.90
10 Jun 2018,POPEYES - SQUARE 2,S$5.70
10 Jun 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$46.05
10 Jun 2018,OLDTOWN WHITE COFFEE - SINGAPORE 065,S$9.50
10 Jun 2018,BOON TONG KEE @ BALEST,S$29.75
11 Jun 2018,WHOLLY GREENS PTE LTD,S$3.20
12 Jun 2018,WHOLLY GREENS PTE LTD,S$5.90
12 Jun 2018,MCDONALD'S (BLS) SINGAPORE 065,S$5.80
12 Jun 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$7.90
12 Jun 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
13 Jun 2018,WHOLLY GREENS PTE LTD,S$2.50
13 Jun 2018,WHOLLY GREENS PTE LTD,S$3.50
14 Jun 2018,SAGE@ALEXANDRA,S$90.63
15 Jun 2018,POPEYES - SQUARE 2,S$6.90
15 Jun 2018,NTUC FP-SQUARE 2 SINGAPORE 065,S$24.35
16 Jun 2018,GRAND COPTHORNE WATERF,S$103.58
17 Jun 2018,DIN TAI FUNG@CENTREPOI,S$22.36
17 Jun 2018,THE COFFEE BEAN-T2DN,S$6.00
17 Jun 2018,THE COFFEE BEAN-T2DN,S$16.50
18 Jun 2018,WHOLLY GREENS PTE LTD,S$6.90
18 Jun 2018,MCDONALD'S (BLS) SINGAPORE 065,S$5.80
19 Jun 2018,MCDONALD'S (BLS) SINGAPORE 065,S$5.80
19 Jun 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$19.70
19 Jun 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
19 Jun 2018,WHOLLY GREENS PTE LTD,S$3.50
20 Jun 2018,WHOLLY GREENS PTE LTD,S$6.90
20 Jun 2018,MCDONALD'S (BLS) SINGAPORE 065,S$5.80
21 Jun 2018,WHOLLY GREENS PTE LTD,S$3.50
21 Jun 2018,WHOLLY GREENS PTE LTD,S$3.20
21 Jun 2018,WHOLLY GREENS PTE LTD,S$3.20
21 Jun 2018,MCDONALD'S (BLS) SINGAPORE 065,S$5.80
22 Jun 2018,WHOLLY GREENS PTE LTD,S$2.20
22 Jun 2018,MCDONALD'S (PSA) SINGAPORE 065,S$29.15
22 Jun 2018,UNITY BY FAIRPRICE - A SINGAPORE 065,S$8.55
24 Jun 2018,NTUC FP-SQUARE 2 SINGAPORE 065,S$23.45
24 Jun 2018,WATAMI JAPANESE-CP SINGAPORE 065,S$97.30
25 Jun 2018,WHOLLY GREENS PTE LTD,S$6.90
25 Jun 2018,WHOLLY GREENS PTE LTD,S$2.50
25 Jun 2018,WHOLLY GREENS PTE LTD,S$3.50
26 Jun 2018,WHOLLY GREENS PTE LTD,S$6.90
26 Jun 2018,WHOLLY GREENS PTE LTD,S$3.50
26 Jun 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
27 Jun 2018,WHOLLY GREENS PTE LTD,S$2.20
27 Jun 2018,COURSRA*8K4UGYMLTXG7ZI 6502657649 CA USD49.00,S$68.76
27 Jun 2018,WHOLLY GREENS PTE LTD,S$6.90
28 Jun 2018,WHOLLY GREENS PTE LTD,S$6.90
28 Jun 2018,WHOLLY GREENS PTE LTD,S$2.50
29 Jun 2018,WHOLLY GREENS PTE LTD,S$2.50
29 Jun 2018,WHOLLY GREENS PTE LTD,S$6.90
29 Jun 2018,GRAB *1107458-4-001,S$40.00
03 Jul 2018,01BEST DENKI-J8 12,S$60.75
03 Jul 2018,02LAZADA-DBS ONLINE IPP 12,S$100.08
02 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
02 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
02 Aug 2018,WHOLLY GREENS PTE LTD,S$2.50
03 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
03 Aug 2018,WHOLLY GREENS PTE LTD,S$3.50
03 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
03 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
04 Aug 2018,GRAND COPTHORNE WATERF,S$98.87
04 Aug 2018,GRAB *1107458-4-008,S$8.00
04 Aug 2018,GRAB *1107458-4-007,S$10.00
04 Aug 2018,VENDING BY SMARTRETAIL,S$5.00
06 Aug 2018,EZYPAYSGD-ANYTIME FITN,S$94.16
06 Aug 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
06 Aug 2018,WHOLLY GREENS PTE LTD,S$2.50
06 Aug 2018,WHOLLY GREENS PTE LTD,S$2.50
06 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
06 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
07 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
07 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
07 Aug 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$31.03
07 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
08 Aug 2018,BLUE LOTUS KITCHEN & B SINGAPORE 065,S$138.90
08 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
08 Aug 2018,WHOLLY GREENS PTE LTD,S$2.50
09 Aug 2018,OLDTOWN WHITE COFFEE - SINGAPORE 065,S$18.60
09 Aug 2018,THE COFFEE BEAN-TTSH,S$16.50
10 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
10 Aug 2018,WHOLLY GREENS PTE LTD,S$2.50
10 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
11 Aug 2018,VENDING BY SMARTRETAIL,S$5.00
11 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
11 Aug 2018,GRAB *1107458-4-009,S$8.00
12 Aug 2018,GRAB *1107458-4-010,S$8.00
12 Aug 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$48.95
12 Aug 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$25.11
13 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
13 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
13 Aug 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
13 Aug 2018,WHOLLY GREENS PTE LTD,S$2.50
14 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
14 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
15 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
15 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
15 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
15 Aug 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$10.60
16 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
16 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
16 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
